"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C4";"CP_Radial_D10.0mm_P3.50mm";1;"100uF";;;
2;"VCC2,VCC1,OUT1";"TerminalBlock_4Ucon_1x02_P3.50mm_Vertical";3;"Conn_01x02_Pin";;;
3;"R6";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";1;"150K";;;
4;"C3,C1";"CP_Radial_D10.0mm_P3.50mm";2;"1uF";;;
5;"R4,R3";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";2;"10K";;;
6;"R10,R9,R7,R2";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";4;"100K";;;
7;"U1";"DIP254P762X533-8";1;"UA741CN";;;
8;"R1";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";1;"12K";;;
9;"RV1";"Potentiometer_Alps_RK09K_Single_Vertical";1;"22K";;;
10;"C9";"CP_Radial_D10.0mm_P3.50mm";1;"220nF";;;
11;"C2";"CP_Radial_D10.0mm_P3.50mm";1;"10uF";;;
12;"C8";"CP_Radial_D10.0mm_P3.50mm";1;"2000uF";;;
13;"C6";"CP_Radial_D10.0mm_P3.50mm";1;"2uF";;;
14;"U2";"TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical";1;"TDA2030";;;
15;"R11";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";1;"1R";;;
16;"C7";"CP_Radial_D10.0mm_P3.50mm";1;"22uF";;;
17;"J1";"SWITCHCRAFT_RA49C12A";1;"RA49C12A";;;
18;"D1,D3";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4001";;;
19;"R8";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";1;"4.7K";;;
20;"C5";"CP_Radial_D10.0mm_P3.50mm";1;"100nF";;;
